%   time (s) 	    East (m)	     North (m)	   Psi (rad)	    gyro (rad/s)   radar (m/s)
%--------------------------------------------------------------------------------------------------
   3.6400000e+01  -1.4385374e+02   5.3728311e+01   4.7021240e+00   1.1726000e-02   2.1252000e+00
   3.6600000e+01  -1.4430359e+02   5.3736720e+01   4.7035120e+00   1.0660000e-03   2.1067200e+00
   3.6800000e+01  -1.4472483e+02   5.3717485e+01   4.6930930e+00   3.1980000e-02   2.1753600e+00
   3.7000000e+01  -1.4515034e+02   5.3735288e+01   4.6944950e+00   4.0508000e-02   2.1595200e+00
   3.7200000e+01  -1.4559196e+02   5.3712054e+01   4.6937570e+00   6.1828000e-02   2.1780000e+00
   3.7400000e+01  -1.4603877e+02   5.3701577e+01   4.7020890e+00   5.0102000e-02   2.1463200e+00
   3.7600000e+01  -1.4646656e+02   5.3702669e+01   4.7012820e+00   6.6092000e-02   2.1278400e+00
   3.7800000e+01  -1.4689614e+02   5.3712452e+01   4.7048150e+00   6.7158000e-02   2.0776800e+00
   3.8000000e+01  -1.4735471e+02   5.3693919e+01   4.7091470e+00   7.2488000e-02   2.1304800e+00
   3.8200000e+01  -1.4779916e+02   5.3688776e+01   4.7159130e+00   5.4366000e-02   2.1172800e+00
   3.8400000e+01  -1.4823800e+02   5.3697199e+01   4.7175320e+00   5.0102000e-02   2.1753600e+00
   3.8600000e+01  -1.4868309e+02   5.3708135e+01   4.7181370e+00   4.5838000e-02   2.1384000e+00
   3.8800000e+01  -1.4912798e+02   5.3714336e+01   4.7154970e+00   5.4366000e-02   2.0908800e+00
   3.9000000e+01  -1.4957987e+02   5.3704802e+01   4.7134640e+00   3.7310000e-02   2.1436800e+00
   3.9200000e+01  -1.5001646e+02   5.3696903e+01   4.7119770e+00   3.5178000e-02   2.1146400e+00
   3.9400000e+01  -1.5043417e+02   5.3697245e+01   4.7095680e+00   5.7564000e-02   2.0856000e+00
   3.9600000e+01  -1.5084436e+02   5.3695040e+01   4.7055830e+00   4.4772000e-02   2.0539200e+00
   3.9800000e+01  -1.5129796e+02   5.3697179e+01   4.7045300e+00   2.0254000e-02   2.1568800e+00
   4.0000000e+01  -1.5173823e+02   5.3682489e+01   4.7096780e+00   3.1980000e-03   2.1753600e+00
   4.0200000e+01  -1.5218391e+02   5.3676605e+01   4.7031430e+00   1.0660000e-02   2.1832800e+00
   4.0400000e+01  -1.5262347e+02   5.3681557e+01   4.6984880e+00   3.6244000e-02   2.1991200e+00
   4.0600000e+01  -1.5305693e+02   5.3674035e+01   4.7012130e+00   3.0914000e-02   2.1463200e+00
   4.0800000e+01  -1.5350484e+02   5.3669155e+01   4.7006070e+00   6.8224000e-02   2.1568800e+00
   4.1000000e+01  -1.5395218e+02   5.3685539e+01   4.7024440e+00   5.2234000e-02   2.1700800e+00
   4.1200000e+01  -1.5438733e+02   5.3704598e+01   4.7003630e+00   5.0102000e-02   2.1304800e+00
   4.1400000e+01  -1.5483410e+02   5.3717318e+01   4.7031550e+00   7.1422000e-02   2.1384000e+00
   4.1600000e+01  -1.5528773e+02   5.3725357e+01   4.7023090e+00   8.7412000e-02   2.1621600e+00
   4.1800000e+01  -1.5570906e+02   5.3709764e+01   4.7095300e+00   7.0356000e-02   2.1859200e+00
   4.2000000e+01  -1.5614209e+02   5.3697097e+01   4.7141990e+00   3.8376000e-02   2.1120000e+00
